Suburb House  Medians Stats  Book Report 2015,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Change ,Change ,Growth PA
Locality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Prelim 2016,2014-2015,2005-2015,2005-2015
,,,,,,,,,,,,,,,
DRYSDALE,256500,257500,289000,270000,306000,356000,420500,360000,385000,399000,414500,375000,4,62,4.9
DUNKELD,150000,200000,165000,140000,210000,180000,245000,179000,210000,170000,187500,NA,10,25,2.3
DUNOLLY,115000,129500,135000,137500,132500,120000,142500,159000,182500,170000,167500,152500,-1,46,3.8
EAGLE POINT,240000,205500,275000,242000,239000,236000,301500,233500,227000,281500,335000,285000,19,40,3.4
EAGLEHAWK,186500,195000,190000,197000,215000,225000,240000,260000,264000,274500,283000,230000,3,52,4.2
EAGLEMONT,797500,850000,916500,1198000,1453500,1360000,1500000,1343500,1340000,1522500,1714000,NA,13,115,8
EAST BAIRNSDALE,160000,185000,162500,175000,195000,195000,176500,190000,226000,160000,199000,197500,24,24,2.2
EAST BENDIGO,214000,217500,235000,217000,225500,254000,266000,295000,285000,330000,300000,287500,-9,40,3.4
EAST GEELONG,250000,261000,316000,318000,334000,400000,402500,395000,450000,426000,440000,470000,3,76,5.8
EAST MELBOURNE,1285000,1145000,1525000,1650000,1510000,1621000,1550000,2540000,1790000,1875000,2100000,3121000,12,63,5
EAST WARBURTON,187000,196500,253500,262000,250000,285000,330000,282500,289500,275000,305000,NA,11,63,5
EASTWOOD,290000,295000,292500,320000,310000,330000,334000,332000,335000,342000,332500,337000,-3,15,1.4
ECHUCA,232500,244000,250000,245000,255000,265000,278000,270000,283500,285000,300000,300000,5,29,2.6
EDENHOPE,126500,120000,150000,167500,83000,132500,100000,106000,160000,130000,112500,78000,-13,-11,-1.2
EDITHVALE,350000,390000,465000,483500,485000,612500,590000,622500,615000,670000,765000,965000,14,119,8.1
EILDON,140000,150000,149500,152000,176000,190000,180000,185000,210000,205000,208500,205000,2,49,4.1
ELLIMINYT,199000,220000,240500,276500,256500,335000,260000,323000,332000,314000,318000,315000,1,60,4.8
ELMORE,138500,112500,130000,122500,162000,173000,188000,160000,167000,176000,200000,175000,14,44,3.7
ELSTERNWICK,675000,758500,970000,866000,985000,1240000,1200000,1108000,1357500,1315000,1574000,1815000,20,133,8.8
ELTHAM,390000,425500,463500,503000,522000,610000,630000,591500,631500,670000,750000,703500,12,92,6.8
ELTHAM NORTH,402000,400000,477500,506000,499500,621000,627000,580500,621000,680000,743000,640000,9,85,6.3
ELWOOD,752500,795000,1007500,1055000,1110000,1325000,1150000,1255000,1300000,1400000,1605000,1510500,15,113,7.9
EMERALD,308000,306500,321500,347000,372500,435000,415000,410500,440000,455000,502000,490000,10,63,5
ENDEAVOUR HILLS,259000,267500,294500,325500,355000,400000,400000,390000,400000,433500,496500,505000,15,92,6.7
EPPING,260000,260000,285000,305000,342000,380000,385000,365000,366500,386500,400000,428000,3,54,4.4
