area_code, dths_suic_0_74_1_no_1_08_12_12
805107569,1.17746744076573
805108649,1.0912704639364
805105949,1.7953846904425
805106669,1.20424708405251
805107659,1.43574669463824
805151719,2.74123775050764
805152439,1.9965811965812
805153069,1.69347576586916
805154239,1.5652864836232
805154419,1.39784466740988
805207749,1.00764465533149
805155319,null
805155859,1.7355629877369
805156489,null
805207839,null
805156849,1.51200297287254
805156939,null
805158109,1.35800817539948
805201089,1.31549580422653
805202079,1.5663195817407
805202529,1.45661438425377
805204059,1.30969641052678
805207389,1.5083256447432
805208739,1.57308554105707
805250819,3.59334565619224
805255489,null
805208829,0.00821580774131189
805250339,1.94775914215012
805250609,2.3641404805915
805251359,3.22674060382009
805251549,2.04591696453121
805252349,null
805253159,1.75046210720887
805253289,2.98977178993676
805253339,null
805254509,2.65865680837954
805254869,13.0
805253379,0.658682634730539
805256129,null
805256579,0.808836871711123
805257289,1.93037584719655
805258019,2.47627849661121
805258189,0.0165521033819082
805258379,3.53248049355834
805354959,1.7257354644429
805350369,null
805401649,0.190137866869661
805351809,null
805352789,0.84954829742877
805352979,null
805354589,null
805353429,2.25909196201066
805353789,null
805354329,null
805356219,3.28410933518647
805356309,null
805356759,null
805357029,null
805357929,null
805358919,null
805357119,1.8815149409312
805400239,1.88446248837013
805400589,0.505117144548761
805400939,0.504102173729172
805402779,0.786264061574896
805402849,1.2873213228453
805403519,1.90002537427049
805403529,0.0138712678677155
805403689,0.113000084580902
805403819,1.50215681299163
805406039,0.00101497081958894
805406249,3.03916095745581
805406279,2.35134906538104
805406719,1.92201640869492
810059009,0.0
